indu,size,risk,credlim,n,wotot,wotot_mr,expneed,exprev,cum_n,cum_wotot,cum_wotot_mr,cum_expneed,cum_exprev,over_n,over_wotot,over_wotot_mr,over_expneed,over_exprev
N1,S5,M,20,15,2768.877045,1661.326227,216153,5403.825,95,5718.999973,3431.399984,446455,11161.375,29,9673.2192,5803.93152,755142,18878.55
N1,S5,M,50,9,2901.650639,1740.990383,226518,5662.95,104,8620.650612,5172.390367,672973,16824.325,14,6904.342155,4142.605293,538989,13474.725
N1,S5,M,100,5,4002.691516,2401.614909,312471,7811.775,109,12623.34213,7574.005277,985444,24636.1,5,4002.691516,2401.614909,312471,7811.775
N1,S5,L,1,24,13.03594529,7.821567172,11124,278.1,24,13.03594529,7.821567172,11124,278.1,89,1543.538422,926.1230532,1317152,32928.8
N1,S5,L,2,17,28.96173605,17.37704163,24714,617.85,41,41.99768134,25.1986088,35838,895.95,65,1530.502477,918.301486,1306028,32650.7
N1,S5,L,3,5,15.15821218,9.094927308,12935,323.375,46,57.15589352,34.29353611,48773,1219.325,48,1501.540741,900.9244444,1281314,32032.85
N1,S5,L,4,4,19.48126164,11.68875698,16624,415.6,50,76.63715515,45.98229309,65397,1634.925,43,1486.382528,891.8295171,1268379,31709.475
N1,S5,L,7,7,48.78870102,29.27322061,41633,1040.825,57,125.4258562,75.2555137,107030,2675.75,39,1466.901267,880.1407601,1251755,31293.875
N1,S5,L,10,9,86.83364562,52.10018737,74098,1852.45,66,212.2595018,127.3557011,181128,4528.2,32,1418.112566,850.8675395,1210122,30253.05
N1,S5,L,20,12,188.3122219,112.9873331,160693,4017.325,78,400.5717236,240.3430342,341821,8545.525,23,1331.27892,798.7673521,1136024,28400.6
N1,S5,L,50,4,169.6325232,101.7795139,144753,3618.825,82,570.2042469,342.1225481,486574,12164.35,11,1142.966698,685.780019,975331,24383.275
N1,S5,L,100,2,157.0184532,94.2110719,133989,3349.725,84,727.2227,436.33362,620563,15514.075,7,973.3341752,584.0005051,830578,20764.45
N1,S5,L,200,5,816.315722,489.7894332,696589,17414.725,89,1543.538422,926.1230532,1317152,32928.8,5,816.315722,489.7894332,696589,17414.725
N1,S6,H,1,1,15.52938797,9.317632779,517,12.925,1,15.52938797,9.317632779,517,12.925,5,32200.98194,19320.58916,1072026,26800.65
N1,S6,H,2,1,49.65198899,29.79119339,1653,41.325,2,65.18137695,39.10882617,2170,54.25,4,32185.45255,19311.27153,1071509,26787.725
N1,S6,H,4,1,135.8896541,81.53379244,4524,113.1,3,201.071031,120.6426186,6694,167.35,3,32135.80056,19281.48034,1069856,26746.4
N1,S6,H,50,1,689.3606457,413.6163874,22950,573.75,4,890.4316767,534.259006,29644,741.1,2,31999.91091,19199.94655,1065332,26633.3
N1,S6,H,999,1,31310.55026,18786.33016,1042382,26059.55,5,32200.98194,19320.58916,1072026,26800.65,1,31310.55026,18786.33016,1042382,26059.55
N1,S6,M,1,76,402.2661996,241.3597198,31403,785.075,76,402.2661996,241.3597198,31403,785.075,320,63378.96571,38027.37942,4947693,123692.325
N1,S6,M,2,42,780.3090645,468.1854387,60915,1522.875,118,1182.575264,709.5451585,92318,2307.95,244,62976.69951,37786.0197,4916290,122907.25
N1,S6,M,3,31,992.9773906,595.7864344,77517,1937.925,149,2175.552655,1305.331593,169835,4245.875,202,62196.39044,37317.83427,4855375,121384.375
N1,S6,M,4,36,1757.760976,1054.656585,137220,3430.5,185,3933.31363,2359.988178,307055,7676.375,171,61203.41305,36722.04783,4777858,119446.45
N1,S6,M,7,21,1562.129686,937.2778113,121948,3048.7,206,5495.443316,3297.265989,429003,10725.075,135,59445.65208,35667.39125,4640638,116015.95
N1,S6,M,10,36,3952.528333,2371.517,308555,7713.875,242,9447.971648,5668.782989,737558,18438.95,114,57883.52239,34730.11344,4518690,112967.25
N1,S6,M,20,37,6359.105759,3815.463456,496425,12410.625,279,15807.07741,9484.246445,1233983,30849.575,78,53930.99406,32358.59644,4210135,105253.375
N1,S6,M,50,22,9410.349261,5646.209557,734621,18365.525,301,25217.42667,15130.456,1968604,49215.1,41,47571.8883,28543.13298,3713710,92842.75
N1,S6,M,100,11,9999.510466,5999.70628,780614,19515.35,312,35216.93714,21130.16228,2749218,68730.45,19,38161.53904,22896.92342,2979089,74477.225
N1,S6,M,200,4,7776.100393,4665.660236,607043,15176.075,316,42993.03753,25795.82252,3356261,83906.525,8,28162.02857,16897.21714,2198475,54961.875
N1,S6,M,500,3,11665.91194,6999.547162,910702,22767.55,319,54658.94946,32795.36968,4266963,106674.075,4,20385.92818,12231.55691,1591432,39785.8
N1,S6,M,999,1,8720.016243,5232.009746,680730,17018.25,320,63378.96571,38027.37942,4947693,123692.325,1,8720.016243,5232.009746,680730,17018.25
N1,S6,L,1,35,14.18203972,8.509223833,12102,302.55,35,14.18203972,8.509223833,12102,302.55,122,1247.048011,748.2288063,1064147,26603.675
