AUTO CREDIT LIMITS
indu,size,risk,credlim,n,wotot,wotot_mr,expneed,exprev,cum_n,cum_wotot,cum_wotot_mr,cum_expneed,cum_exprev,over_n,over_wotot,over_wotot_mr,over_expneed,over_exprev,Type
N2,S1,L,50,19,652.6164055,391.5698433,556899.0,5568.99,488,2412.908473,1447.745084,2059014.0,20590.14,27,3992.657854,2395.594712,3407066.0,34070.66,Optimum
N2,S1,M,50,56,23409.92523,14045.95514,1827501.0,18275.01,702,54631.69021,32779.01412,4264835.0,42648.35,77,51540.07021,30924.04213,4023487.0,40234.87,Optimum
N2,S2,H,1,34,369.6414861,221.7848916,12306.0,184.59,34,369.6414861,221.7848916,12306.0,184.59,126,25185.51334,15111.30801,838469.0,12577.035,Excluded
N2,S2,L,100,4,301.0220548,180.6132329,256872.0,3853.08,720,3944.537122,2366.722273,3366003.0,50490.045,7,711.2769874,426.7661924,606956.0,9104.34,Optimum
N2,S2,M,100,29,26396.59453,15837.95672,2060656.0,30909.84,1117,108229.1939,64937.51633,8448936.0,126734.04,37,45522.1279,27313.27674,3553695.0,53305.425,Optimum
N2,S3,H,2,6,284.304946,170.5829676,9465.0,189.3,12,350.5376355,210.3225813,11670.0,233.4,25,9003.861045,5402.316627,299754.0,5995.08,Optimum
N2,S3,L,100,5,336.9693419,202.1816051,287547.0,5750.94,360,2532.663622,1519.598173,2161205.0,43224.1,6,685.2929875,411.1757925,584783.0,11695.66,Optimum
N2,S3,M,100,19,16403.10467,9841.8628,1280512.0,25610.24,400,53558.51065,32135.10639,4181057.0,83621.14,23,23446.5997,14067.95982,1830364.0,36607.28,Optimum
N2,S4,H,50,4,4088.85481,2453.312886,136125.0,3403.125,25,6930.041945,4158.025167,230713.0,5767.825,5,7411.182635,4446.709581,246731.0,6168.275,Optimum
N2,S4,L,100,19,1399.75982,839.8558923,1194461.0,29861.525,548,5722.034668,3433.220801,4882800.0,122070.0,29,3124.104601,1874.46276,2665901.0,66647.525,Optimum
N2,S4,M,100,26,23093.89462,13856.33677,1802830.0,45070.75,588,84816.61703,50889.97022,6621228.0,165530.7,49,89707.89886,53824.73932,7003067.0,175076.675,Optimum
N2,S5,H,50,1,931.7632779,559.0579668,31020.0,775.5,4,2079.5863,1247.75178,69233.0,1730.825,1,931.7632779,559.0579668,31020.0,775.5,Optimum
N2,S5,L,100,4,331.236526,198.7419156,282655.0,7066.375,92,1313.118362,787.8710175,1120527.0,28013.175,6,901.1923352,540.7154011,769017.0,19225.425,Optimum
N2,S5,M,100,8,6465.59364,3879.356184,504738.0,12618.45,138,19821.97666,11893.186,1547407.0,38685.175,12,19114.54256,11468.72554,1492181.0,37304.525,Optimum
N2,S6,H,50,1,1295.817789,777.4906733,43140.0,1078.5,13,3652.710297,2191.626178,121605.0,3040.125,1,1295.817789,777.4906733,43140.0,1078.5,Optimum
N2,S6,L,500,4,1478.800493,887.2802956,1261909.0,31547.725,242,5759.162034,3455.49722,4914482.0,122862.05,5,2575.914039,1545.548423,2198112.0,54952.8,Optimum
N2,S6,M,200,21,36361.03176,21816.61905,2838532.0,70963.3,519,105192.4895,63115.49371,8211875.0,205296.875,29,108191.3025,64914.7815,8445978.0,211149.45,Optimum
N3,S0,H,1,48,571.4033796,342.8420278,19023.0,190.23,48,571.4033796,342.8420278,19023.0,190.23,156,55517.14145,33310.28487,1848261.0,18482.61,Excluded
N3,S0,L,50,6,217.5493487,130.5296092,185642.0,1856.42,45,438.2404962,262.9442977,373965.0,3739.65,11,731.1062961,438.6637777,623877.0,6238.77,Optimum
N3,S0,M,50,23,9993.989442,5996.393665,780183.0,7801.83,220,20800.09469,12480.05681,1623764.0,16237.64,43,61910.14262,37146.08557,4833029.0,48330.29,Optimum
N3,S1,H,1,5,25.86228827,15.51737296,861.0,8.61,5,25.86228827,15.51737296,861.0,8.61,17,7091.1631,4254.69786,236077.0,2360.77,Excluded
N3,S1,L,50,4,113.3133489,67.98800936,96694.0,966.94,46,267.1700815,160.3020489,227985.0,2279.85,5,234.3669369,140.6201621,199993.0,1999.93,Optimum
N3,S1,M,50,7,2812.904333,1687.7426,219590.0,2195.9,68,6212.446341,3727.467804,484976.0,4849.76,13,11803.73259,7082.239555,921461.0,9214.61,Optimum
N3,S2,H,1,4,48.57063896,29.14238337,1617.0,24.255,4,48.57063896,29.14238337,1617.0,24.255,15,5200.512681,3120.307608,173134.0,2597.01,Excluded
N3,S2,L,100,3,262.7767195,157.6660317,224236.0,3363.54,83,661.510942,396.9065652,564489.0,8467.335,3,262.7767195,157.6660317,224236.0,3363.54,Optimum
N3,S2,M,100,6,5851.645469,3510.987281,456810.0,6852.15,173,19885.03932,11931.02359,1552330.0,23284.95,8,9028.117591,5416.870555,704782.0,10571.73,Optimum
N3,S3,H,50,2,1445.344468,867.206681,48118.0,962.36,4,1483.462057,890.0772342,49387.0,987.74,2,1445.344468,867.206681,48118.0,962.36,Optimum
N3,S3,L,200,2,346.9513791,208.1708275,296065.0,5921.3,59,1096.211202,657.726721,935433.0,18708.66,2,346.9513791,208.1708275,296065.0,5921.3,Optimum
N3,S3,M,100,2,2130.923306,1278.553984,166351.0,3327.02,68,8389.062209,5033.437325,654894.0,13097.88,2,2130.923306,1278.553984,166351.0,3327.02,Optimum
N3,S4,H,50,1,989.3151296,593.5890778,32936.0,823.4,6,1683.992413,1010.395448,56063.0,1401.575,2,7098.221913,4258.933148,236312.0,5907.8,Optimum
N3,S4,L,200,1,182.041515,109.224909,155342.0,3883.55,80,1634.675195,980.8051171,1394922.0,34873.05,2,1158.881942,695.3291653,988912.0,24722.8,Optimum
N3,S4,M,200,4,7697.781266,4618.668759,600929.0,15023.225,110,28251.35132,16950.81079,2205448.0,55136.2,8,25813.76136,15488.25682,2015157.0,50378.925,Optimum
N3,S5,L,200,2,421.5529862,252.9317917,359725.0,8993.125,35,917.8083607,550.6850164,783196.0,19579.9,2,421.5529862,252.9317917,359725.0,8993.125,Optimum
N3,S5,M,200,2,3330.778992,1998.467395,260018.0,6500.45,25,9767.524959,5860.514976,762504.0,19062.6,5,50116.82439,30070.09464,3912381.0,97809.525,Optimum
N3,S6,L,500,1,284.5724356,170.7434614,242835.0,6070.875,21,1339.435175,803.6611051,1142984.0,28574.6,1,284.5724356,170.7434614,242835.0,6070.875,Optimum
N3,S6,M,500,2,9487.361788,5692.417073,740633.0,18515.825,52,22173.4079,13304.04474,1730972.0,43274.3,3,41468.87609,24881.32566,3237277.0,80931.925,Optimum
